0.00,1000.00	529.53,97.00	1158.02,205.00	771.75,139.00	482.60,86.00	332.42,60.00	1217.42,220.00	364.01,65.00	616.12,111.00	629.36,115.00	1249.08,227.00	540.37,95.00	456.95,82.00	1238.22,225.00	948.47,168.00	574.89,103.00	1488.39,266.00	1134.06,205.00	817.44,149.00	671.19,120.00	320.16,58.00	1422.39,25.00	864.00,152.00	282.31,52.00	978.67,180.00	756.64,136.00	460.11,82.00	186.01,34.00	820.06,145.00
540.37,95.00	837.38,150.00	1149.35,201.00	1271.38,227.00	499.30,88.00	269.26,46.00	1718.40,308.00	742.50,133.00	382.10,68.00	1091.65,195.00	1780.84,320.00	0.00,1000.00	980.61,174.00	1730.78,311.00	1461.64,258.00	1105.49,196.00	1951.33,347.00	1605.52,288.00	1356.24,243.00	1079.12,192.00	629.68,113.00	1924.16,345.00	1253.99,222.00	805.05,144.00	1514.00,274.00	700.93,124.00	926.55,165.00	400.25,71.00	870.92,153.00
456.95,82.00	466.90,87.00	1194.74,215.00	325.58,60.00	724.22,131.00	732.46,133.00	968.76,172.00	595.40,104.00	937.44,169.00	261.73,51.00	800.62,146.00	980.61,174.00	0.00,1000.00	788.16,144.00	491.93,86.00	340.15,57.00	1053.61,189.00	700.36,128.00	396.23,71.00	383.28,71.00	452.22,82.00	967.47,176.00	875.73,150.00	331.21,56.00	631.35,114.00	924.39,168.00	496.49,83.00	639.53,115.00	884.14,160.00
1238.22,225.00	967.47,176.00	1467.31,267.00	466.48,86.00	1351.48,245.00	1465.37,266.00	1141.10,203.00	1351.04,242.00	1584.93,286.00	641.95,112.00	362.49,64.00	1730.78,311.00	788.16,144.00	0.00,1000.00	312.41,61.00	918.10,165.00	300.83,51.00	167.63,32.00	586.00,105.00	694.62,127.00	1116.83,201.00	201.00,36.00	1435.44,254.00	1096.59,196.00	775.24,136.00	1430.14,260.00	1192.02,212.00	1423.59,258.00	1288.76,234.00
948.47,168.00	769.42,137.00	1385.71,248.00	200.00,34.00	1130.00,201.00	1203.04,214.00	934.08,165.00	1039.47,182.00	1360.59,242.00	411.95,72.00	361.39,68.00	1461.64,258.00	491.93,86.00	312.41,61.00	0.00,1000.00	609.02,106.00	605.39,110.00	292.75,56.00	294.28,49.00	515.46,91.00	873.67,153.00	477.07,91.00	1141.80,197.00	787.46,136.00	541.29,94.00	1257.18,225.00	880.06,151.00	1131.46,201.00	1148.26,205.00
574.89,103.00	796.30,142.00	1526.34,271.00	539.35,96.00	984.78,175.00	905.21,162.00	662.87,121.00	478.54,84.00	1167.78,208.00	580.52,104.00	784.92,143.00	1105.49,196.00	340.15,57.00	918.10,165.00	609.02,106.00	0.00,1000.00	1214.33,215.00	887.69,159.00	346.55,64.00	715.68,126.00	726.22,128.00	1055.51,190.00	561.43,98.00	300.67,53.00	410.00,78.00	1220.25,218.00	284.25,48.00	710.28,127.00	1206.15,214.00
1488.39,266.00	1142.32,204.00	1511.99,274.00	728.35,129.00	1531.01,275.00	1682.38,302.00	1421.27,251.00	1633.77,290.00	1761.39,315.00	865.33,153.00	611.31,106.00	1951.33,347.00	1053.61,189.00	300.83,51.00	605.39,110.00	1214.33,215.00	0.00,1000.00	354.68,61.00	886.40,155.00	877.27,157.00	1323.78,235.00	275.14,47.00	1736.26,305.00	1374.41,243.00	1068.88,186.00	1561.79,282.00	1483.85,261.00	1674.31,300.00	1396.07,252.00
1134.06,205.00	817.86,148.00	1299.73,236.00	376.43,69.00	1205.40,218.00	1337.54,242.00	1208.39,216.00	1286.00,230.00	1438.37,259.00	514.78,93.00	490.41,88.00	1605.52,288.00	700.36,128.00	167.63,32.00	292.75,56.00	887.69,159.00	354.68,61.00	0.00,1000.00	586.94,105.00	545.71,100.00	982.34,176.00	361.25,66.00	1431.36,253.00	1024.50,183.00	822.98,146.00	1270.35,231.00	1146.12,203.00	1320.04,239.00	1124.46,204.00
817.44,149.00	819.88,148.00	1516.44,272.00	326.50,58.00	1118.26,202.00	1120.04,203.00	679.78,122.00	815.41,146.00	1333.64,240.00	488.36,88.00	447.21,81.00	1356.24,243.00	396.23,71.00	586.00,105.00	294.28,49.00	346.55,64.00	886.40,155.00	586.94,105.00	0.00,1000.00	629.36,113.00	846.46,152.00	710.63,127.00	850.94,150.00	592.37,106.00	288.44,52.00	1301.88,235.00	630.32,112.00	984.89,179.00	1234.22,211.00
671.19,120.00	272.95,49.00	890.22,160.00	331.21,60.00	659.70,119.00	809.94,146.00	1292.75,231.00	931.45,165.00	892.69,160.00	144.22,25.00	876.41,159.00	1079.12,192.00	383.28,71.00	694.62,127.00	515.46,91.00	715.68,126.00	877.27,157.00	545.71,100.00	629.36,113.00	0.00,1000.00	449.44,79.00	895.60,163.00	1258.97,220.00	678.97,119.00	914.39,164.00	746.73,135.00	870.52,152.00	848.12,153.00	633.25,114.00
320.16,58.00	228.25,41.00	852.35,151.00	674.76,120.00	272.03,50.00	360.56,67.00	1388.09,249.00	674.69,121.00	491.63,90.00	475.39,85.00	1220.04,219.00	629.68,113.00	452.22,82.00	1116.83,201.00	873.67,153.00	726.22,128.00	1323.78,235.00	982.34,176.00	846.46,152.00	449.44,79.00	0.00,1000.00	1314.72,236.00	1140.61,201.00	507.74,90.00	1078.38,195.00	495.18,90.00	720.69,127.00	452.22,84.00	514.78,91.00
1422.39,25.00	1168.42,211.00	1652.45,300.00	653.91,119.00	1551.93,281.00	1660.27,300.00	1169.66,209.00	1508.94,270.00	1785.39,322.00	839.34,152.00	353.55,63.00	1924.16,345.00	967.47,176.00	201.00,36.00	477.07,91.00	1055.51,190.00	275.14,47.00	361.25,66.00	710.63,127.00	895.60,163.00	1314.72,236.00	0.00,1000.00	1539.51,273.00	1262.10,226.00	841.55,148.00	1630.00,296.00	1336.90,238.00	1606.55,291.00	1485.70,269.00
864.00,152.00	1280.82,226.00	1990.60,350.00	1098.95,192.00	1346.18,238.00	1159.74,205.00	619.84,111.00	524.02,91.00	1463.86,260.00	1132.17,200.00	1214.95,216.00	1253.99,222.00	875.73,150.00	1435.44,254.00	1141.80,197.00	561.43,98.00	1736.26,305.00	1431.36,253.00	850.94,150.00	1258.97,220.00	1140.61,201.00	1539.51,273.00	0.00,1000.00	635.61,112.00	718.40,130.00	1616.97,286.00	420.48,74.00	886.17,155.00	1654.69,291.00
282.31,52.00	650.00,116.00	1355.18,239.00	648.15,114.00	735.53,131.00	614.65,111.00	935.20,169.00	264.20,48.00	893.59,160.00	581.89,104.00	1038.70,187.00	805.05,144.00	331.21,56.00	1096.59,196.00	787.46,136.00	300.67,53.00	1374.41,243.00	1024.50,183.00	592.37,106.00	678.97,119.00	507.74,90.00	1262.10,226.00	635.61,112.00	0.00,1000.00	710.28,130.00	994.89,178.00	215.41,38.00	410.00,75.00	1020.00,180.00
978.67,180.00	1086.00,197.00	1796.55,322.00	614.00,110.00	1348.52,244.00	1304.19,238.00	395.60,72.00	865.85,158.00	1549.52,281.00	771.56,139.00	501.20,88.00	1514.00,274.00	631.35,114.00	775.24,136.00	541.29,94.00	410.00,78.00	1068.88,186.00	822.98,146.00	288.44,52.00	914.39,164.00	1078.38,195.00	841.55,148.00	718.40,130.00	710.28,130.00	0.00,1000.00	1555.54,281.00	655.21,120.00	1120.18,205.00	1504.16,270.00
756.64,136.00	490.41,89.00	451.77,78.00	1062.31,192.00	278.57,51.00	543.32,98.00	1880.43,328.00	1118.03,200.00	326.96,57.00	849.00,154.00	1618.30,293.00	700.93,124.00	924.39,168.00	1430.14,260.00	1257.18,225.00	1220.25,218.00	1561.79,282.00	1270.35,231.00	1301.88,235.00	746.73,135.00	495.18,90.00	1630.00,296.00	1616.97,286.00	994.89,178.00	1555.54,281.00	0.00,1000.00	1202.08,213.00	800.81,145.00	198.49,36.00
460.11,82.00	864.00,153.00	1570.13,276.00	778.78,136.00	936.06,166.00	779.36,139.00	793.10,144.00	212.13,39.00	1074.48,192.00	758.02,134.00	1068.32,191.00	926.55,165.00	496.49,83.00	1192.02,212.00	880.06,151.00	284.25,48.00	1483.85,261.00	1146.12,203.00	630.32,112.00	870.52,152.00	720.69,127.00	1336.90,238.00	420.48,74.00	215.41,38.00	655.21,120.00	1202.08,213.00	0.00,1000.00	529.24,94.00	1234.34,217.00
186.01,34.00	677.79,124.00	1233.21,220.00	957.18,176.00	523.93,95.00	280.18,52.00	1318.98,237.00	362.35,64.00	586.00,107.00	813.94,149.00	1423.38,258.00	400.25,71.00	639.53,115.00	1423.59,258.00	1131.46,201.00	710.28,127.00	1674.31,300.00	1320.04,239.00	984.89,179.00	848.12,153.00	452.22,84.00	1606.55,291.00	886.17,155.00	410.00,75.00	1120.18,205.00	800.81,145.00	529.24,94.00	0.00,1000.00	902.72,162.00
820.06,145.00	418.69,74.00	338.38,60.00	962.55,173.00	393.19,69.00	676.02,120.00	1852.84,331.00	1182.96,210.00	513.13,90.00	755.91,135.00	1508.41,272.00	870.92,153.00	884.14,160.00	1288.76,234.00	1148.26,205.00	1206.15,214.00	1396.07,252.00	1124.46,204.00	1234.22,211.00	633.25,114.00	514.78,91.00	1485.70,269.00	1654.69,291.00	1020.00,180.00	1504.16,270.00	198.49,36.00	1234.34,217.00	902.72,162.00	0.00,1000.00
